;accuracy;classifier;classifier_time;f1_score;transformer;transformer_time;vectorizer;vectorizer_time;fscore_1;fscore_2;precision_1;precision_2;recall_1;recall_2;support_1;support_2
66;0,5315;Decision Tree;0,08;0,344113118;TF l2 linear;0,01;2-grams;1,52;0,635607062;0,344113118;0,515778844;0,591434071;0,827963526;0,242645607;4935;5065
67;0,4943;Random Forest;0,05;0,005897385;TF l2 linear;0,01;2-grams;1,52;0,660899886;0,005897385;0,49388655;0,681818182;0,99858156;0,0029615;4935;5065
68;0,5506;AdaBoost;1,3;0,367042254;TF l2 linear;0,01;2-grams;1,52;0,651627907;0,367042254;0,527683616;0,64029484;0,851671733;0,257255676;4935;5065
69;0,6473;Naive Bayes;0,01;0,626811978;TF l2 linear;0,01;2-grams;1,52;0,665655512;0,626811978;0,625400784;0,675330597;0,711448835;0,584797631;4935;5065
70;0,5784;Nearest Neighbors;6,99;0,507476636;TF-IDF l2 log;0;2-grams;1,52;0,631468531;0,507476636;0,555265181;0,621459227;0,731914894;0,428825271;4935;5065
71;0,5453;Linear SVM;67,18;0,360028149;TF-IDF l2 log;0;2-grams;1,52;0,647382706;0,360028149;0,524371859;0,626960784;0,845795339;0,252517275;4935;5065
72;0,6456;RBF SVM;191,69;0,663053813;TF-IDF l2 log;0;2-grams;1,52;0,62623919;0,663053813;0,652957994;0,639464515;0,601621074;0,688450148;4935;5065
73;0,5319;Decision Tree;0,06;0,321102248;TF-IDF l2 log;0;2-grams;1,52;0,642808089;0,321102248;0,515544676;0,604918033;0,853495441;0,218558736;4935;5065
74;0,4943;Random Forest;0,05;0,005506391;TF-IDF l2 log;0;2-grams;1,52;0,660945357;0,005506391;0,493887776;0,7;0,998784195;0,002764067;4935;5065
75;0,5486;AdaBoost;1,18;0,369024322;TF-IDF l2 log;0;2-grams;1,52;0,64860657;0,369024322;0,52660852;0,631881283;0,844174265;0,260612043;4935;5065
76;0,6481;Naive Bayes;0,01;0,629461935;TF-IDF l2 log;0;2-grams;1,52;0,664952871;0,629461935;0,627155172;0,674413357;0,707598784;0,590128332;4935;5065
77;0,5792;Nearest Neighbors;6,81;0,508755545;TF-IDF l2 linear;0;2-grams;1,52;0,631974812;0,508755545;0,555931682;0,622393602;0,732117528;0,430207305;4935;5065
78;0,5455;Linear SVM;57,83;0,359227407;TF-IDF l2 linear;0;2-grams;1,52;0,647865499;0,359227407;0,524460612;0,628205128;0,847213779;0,251530109;4935;5065
79;0,6459;RBF SVM;194,33;0,663946095;TF-IDF l2 linear;0;2-grams;1,52;0,62580577;0,663946095;0,653931095;0,639254386;0,6;0,690621915;4935;5065
80;0,532;Decision Tree;0,07;0,322132097;TF-IDF l2 linear;0;2-grams;1,52;0,642638974;0,322132097;0,515623085;0,604676455;0,852684904;0,219545903;4935;5065
81;0,4951;Random Forest;0,05;0,00786009;TF-IDF l2 linear;0;2-grams;1,52;0,661390919;0,00786009;0,494286287;0,833333333;0,999189463;0,003948667;4935;5065
82;0,5497;AdaBoost;1,15;0,377264555;TF-IDF l2 linear;0;2-grams;1,52;0,647349048;0,377264555;0,527572122;0,629732225;0,837487335;0,269299112;4935;5065
83;0,6486;Naive Bayes;0,01;0,629637437;TF-IDF l2 linear;0;2-grams;1,52;0,665715373;0,629637437;0,627398243;0,675333484;0,709017224;0,589733465;4935;5065
